内容,作者,发布时间,转发数,评论数,点赞数,页码
"【巅峰广艺2023中传录取战绩榜🥳】
恭喜 杨*宇 同学 中国传媒大学环境设计（光影空间艺术）已录取！🎉
恭喜 吕* 同学 中国传媒大学戏剧影视美术设计已录取！🎉
恭喜 张*宸 同学 中国传媒大学戏剧影视美术设计已录取！🎉
恭喜 李*康 同学 中国传媒大学戏剧影视美术设计已录取！🎉
恭喜 孙 ​ 展开c",北京巅峰广艺画室,2023年07月13日 10:15 ,0,2,0,37
#中国传媒大学# 【共商合作·共谋发展｜廖祥忠书记、张树庭校长一行赴新华社拜访傅华社长】在全党深入开展学习贯彻习近平新时代中国特色社会主义思想主题教育之际，中国传媒大学党委书记廖祥忠、校长张树庭一行于7月11日赴新华社拜访傅华社长，参观学习、沟通交流，并就新华社与中国传媒大学开展全面合 ​ 展开c,中国传媒大学,2023年07月13日 09:09 ,1,32,0,37
“我体验到这个世界如此像我，是友爱融洽的，觉得自己过去曾经是幸福的，现在仍然是幸福的”#写真##摄影##少女写真##中国传媒大学# ​,张珑璟,2023年07月12日 17:31 ,3,22,0,37
"🐱🐱🐱
音乐剧《想把我唱给您听》已经在小柯剧场上演一周，剧中感人的歌曲赚足了观众的眼泪与掌声，还没听到的朋友赶快来听吧！小柯老师的音乐功底可是不容置疑的哈～
#中戏##北京电影学院##音乐剧##中国传媒大学##首都师范大学# ​",猫咪文艺范儿,2023年07月09日 10:05 ,3,35,0,37
"欢迎申请中国传媒大学-艺术研究院-传媒艺术学硕士研究生。
《文化化人 艺术养心 | 2023年中国传媒大学艺术研究院全国优秀大学生夏令营招生简章》
链接：O文化化人 艺术养心 | 2023年中国传媒大学艺术研究院全国优秀大学生夏令营招生简章
#传媒艺术学##中国传媒大学# ​",中国传媒大学刘俊,2023年07月07日 00:00 ,1,10,0,37
"漫长的告别
生命里一部分魂器留在了北京
其中 最重要的还是人♥️

“真的愿我们每时每刻都在当下储存足够美好的记忆
去对抗人生不期而遇的苦楚
也愿我们能够在记忆中 有更多的美好
让我们平静从容地走向人生的终点

祝愿我们 一生平安”💐

#中国传媒大学##毕业快乐# 2北京·中国传媒大学 ​",-阿菲爱咖啡,2023年07月03日 14:56 ,1,7,0,38
"很久没发过这个定位了，此前设想过无数种回学校看望老师的场景，但一切都在最没有预料又最充满惊喜的情况下发生了📸
说来惭愧，这是我2018年毕业之后第一次回到中国传媒大学。之前总想等自己混得再好一点才有脸见老师，要让老师和同学们看到我比从前更好了，可当真的见到老师和同学的那一刻，我反而 ​ 展开c",安英伦Allen,2023年07月01日 21:28 ,1,10,0,38
"中国传媒大学超话
发现了学校附近一家很不错的餐吧！CUCer们快去打卡哇#不可辜负的美食##好好吃饭##中国传媒大学# ​",中国传媒大学微博协会,2023年06月29日 13:31 ,4,7,0,39
"2023年中国传媒大学第三十四届广院杯男足半决赛赛事总结：
战况：
K5：新闻队2:2（4:3）广告队
K6：信通队3:0教工队
总结：广告队开局落后，随后在上半场补时阶段打入反超进球，带着一球优势进入中场休息，距离平队史最好记录只差一步，新闻队则在下半场火速利用角球扳平比分，最终双方再无建树，点球 ​ 展开c",中国传媒大学广院杯,2023年06月27日 20:52 ,0,4,0,39
"【⛸️】
夏天是冰冰的🧊
#摄影##随手拍##滑冰##暑假##中国传媒大学# 2北京·国家速滑馆 ​",柯柯suguoi,2023年06月22日 22:49 ,7,13,0,39
"冯禧超话 #出门见禧# #向全世界安利冯禧##中国传媒大学#

半夏的纪念-集锦3 邹友开老师采访

@冯禧本禧 L秘密·花园的微博视频 ​",秘密·花园,2023年06月20日 09:21 ,0,19,0,40
"之前说要出Vlog
但是录了好久都没在大眼仔上发哈哈哈哈哈哈
演出前三个小时在考毛概
中国传媒大学21级表演期末汇报
6.16-6.18 19:00
6.17-6.18 14:00
记得来看哦
#中国传媒大学# 2北京·中国传媒大学 L黄亭羽-的微博视频 ​",超级无敌闲蛋黄,2023年06月16日 11:08 ,2,9,0,40
